id_paisano,desagregacion,pais_cod,ano,valor,desagregacion_por_orden,variable_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
DOM2016,Women/men ratio,DOM,2016,,26,26,Women/men ratio,6,Dominican republic,Dominican republic,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2021,Women/men ratio,DOM,2021,2.741460084915161,26,26,Women/men ratio,6,Dominican republic,Dominican republic,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ECU2012,Women/men ratio,ECU,2012,6.28447437286377,26,26,Women/men ratio,6,Ecuador,Ecuador,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
SLV2017,Women/men ratio,SLV,2017,3.139626502990723,26,26,Women/men ratio,6,El Salvador,El Salvador,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
GTM2011,Women/men ratio,GTM,2011,7.125433444976807,26,26,Women/men ratio,6,Guatemala,Guatemala,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
GTM2014,Women/men ratio,GTM,2014,6.207583904266357,26,26,Women/men ratio,6,Guatemala,Guatemala,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
GTM2018,Women/men ratio,GTM,2018,8.607751846313477,26,26,Women/men ratio,6,Guatemala,Guatemala,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
GTM2019,Women/men ratio,GTM,2019,7.45672607421875,26,26,Women/men ratio,6,Guatemala,Guatemala,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
MEX2009,Women/men ratio,MEX,2009,4.839800357818604,26,26,Women/men ratio,6,Mexico,Mexico,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
MEX2014,Women/men ratio,MEX,2014,3.961093425750732,26,26,Women/men ratio,6,Mexico,Mexico,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
MEX2019,Women/men ratio,MEX,2019,3.950003623962402,26,26,Women/men ratio,6,Mexico,Mexico,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
PRY2016,Women/men ratio,PRY,2016,4.179423332214355,26,26,Women/men ratio,6,Paraguay,Paraguay,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
PER2010,Women/men ratio,PER,2010,3.960006237030029,26,26,Women/men ratio,6,Peru,Peru,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
URY2007,Women/men ratio,URY,2007,5.798222541809082,26,26,Women/men ratio,6,Uruguay,Uruguay,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
URY2013,Women/men ratio,URY,2013,2.540283918380737,26,26,Women/men ratio,6,Uruguay,Uruguay,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
URY2021,Women/men ratio,URY,2021,3.108237743377686,26,26,Women/men ratio,6,Uruguay,Uruguay,Weekly hours allocated to childcare. The reference population includes people aged 15-24 in households with children aged 0-14.,Weekly hours allocated to childcare activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
