id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,variable_orden,valor_errorestandar_matem,valor_errorestandar_lectu,valor_errorestandar_ciencia,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2003,"Total, language",ARG,,2003,,12,12,,,,"Total, language",8,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women, language",ARG,,2003,,13,13,,,,"Gender, language",11,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men, language",ARG,,2003,,14,14,,,,"Gender, language",11,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Gap women - men, language",ARG,,2003,,15,15,,0,,"Gap women - men, language",12,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women in low-skilled household, language",ARG,,2003,,17,17,,,,"Qualification (women), language",13,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women in medium-skilled household, language",ARG,,2003,,18,18,,,,"Qualification (women), language",13,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women in high-skilled household, language",ARG,,2003,,19,19,,,,"Qualification (women), language",13,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men in low-skilled household, language",ARG,,2003,,20,20,,,,"Qualification (men), language",14,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men in medium-skilled household, language",ARG,,2003,,21,21,,,,"Qualification (men), language",14,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men in high-skilled household, language",ARG,,2003,,22,22,,,,"Qualification (men), language",14,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Total, science",ARG,,2003,,23,23,,,,"Total, science",15,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women, science",ARG,,2003,,24,24,,,,"Gender, science",18,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men, science",ARG,,2003,,25,25,,,,"Gender, science",18,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Gap women - men, science",ARG,,2003,,26,26,,,0,"Gap women - men, science",19,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women in low-skilled household, science",ARG,,2003,,28,28,,,,"Qualification (women), science",20,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women in medium-skilled household, science",ARG,,2003,,29,29,,,,"Qualification (women), science",20,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Women in high-skilled household, science",ARG,,2003,,30,30,,,,"Qualification (women), science",20,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men in low-skilled household, science",ARG,,2003,,31,31,,,,"Qualification (men), science",21,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men in medium-skilled household, science",ARG,,2003,,32,32,,,,"Qualification (men), science",21,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Men in high-skilled household, science",ARG,,2003,,33,33,,,,"Qualification (men), science",21,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Woman, mathematic",ARG,,2003,,34,34,,,,"Woman, mathematic",2,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Man, mathematic",ARG,,2003,,35,35,,,,"Man, mathematic",3,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Woman, language",ARG,,2003,,36,36,,,,"Woman, language",9,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Man, language",ARG,,2003,,37,37,,,,"Man, language",10,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Woman, science",ARG,,2003,,38,38,,,,"Woman, science",16,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,"Man, science",ARG,,2003,,39,39,,,,"Man, science",17,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Total, mathematic",ARG,PISA,2006,381.25390625,1,1,,,,"Total, mathematic",1,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women, mathematic",ARG,PISA,2006,375.1851196289063,2,2,,,,"Gender, mathematic",4,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men, mathematic",ARG,PISA,2006,388.0733947753906,3,3,,,,"Gender, mathematic",4,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Gap women - men, mathematic",ARG,PISA,2006,12.88829803466797,4,4,11.048283,,,"Gap women - men, mathematic",5,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in low-skilled household, mathematic",ARG,PISA,2006,341.9429626464844,6,6,,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in medium-skilled household, mathematic",ARG,PISA,2006,379.8214721679688,7,7,,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in high-skilled household, mathematic",ARG,PISA,2006,420.67919921875,8,8,,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in low-skilled household, mathematic",ARG,PISA,2006,350.3126831054688,9,9,,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in medium-skilled household, mathematic",ARG,PISA,2006,392.5686645507813,10,10,,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in high-skilled household, mathematic",ARG,PISA,2006,427.8876342773438,11,11,,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Total, language",ARG,PISA,2006,373.7237854003906,12,12,,,,"Total, language",8,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women, language",ARG,PISA,2006,399.1055603027344,13,13,,,,"Gender, language",11,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men, language",ARG,PISA,2006,345.2023315429688,14,14,,,,"Gender, language",11,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Gap women - men, language",ARG,PISA,2006,-53.90322875976563,15,15,,14.339952,,"Gap women - men, language",12,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in low-skilled household, language",ARG,PISA,2006,367.3372192382813,17,17,,,,"Qualification (women), language",13,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in medium-skilled household, language",ARG,PISA,2006,401.2007446289063,18,18,,,,"Qualification (women), language",13,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in high-skilled household, language",ARG,PISA,2006,446.3647155761719,19,19,,,,"Qualification (women), language",13,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in low-skilled household, language",ARG,PISA,2006,304.1098022460938,20,20,,,,"Qualification (men), language",14,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in medium-skilled household, language",ARG,PISA,2006,345.6890869140625,21,21,,,,"Qualification (men), language",14,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in high-skilled household, language",ARG,PISA,2006,391.7779541015625,22,22,,,,"Qualification (men), language",14,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Total, science",ARG,PISA,2006,391.243896484375,23,23,,,,"Total, science",15,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women, science",ARG,PISA,2006,397.2837219238281,24,24,,,,"Gender, science",18,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men, science",ARG,PISA,2006,384.4569702148438,25,25,,,,"Gender, science",18,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Gap women - men, science",ARG,PISA,2006,-12.8267240524292,26,26,,,11.011841,"Gap women - men, science",19,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in low-skilled household, science",ARG,PISA,2006,362.0702819824219,28,28,,,,"Qualification (women), science",20,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in medium-skilled household, science",ARG,PISA,2006,399.4816589355469,29,29,,,,"Qualification (women), science",20,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Women in high-skilled household, science",ARG,PISA,2006,447.9030456542969,30,30,,,,"Qualification (women), science",20,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in low-skilled household, science",ARG,PISA,2006,345.7391662597656,31,31,,,,"Qualification (men), science",21,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in medium-skilled household, science",ARG,PISA,2006,386.2472229003906,32,32,,,,"Qualification (men), science",21,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Men in high-skilled household, science",ARG,PISA,2006,427.9325256347656,33,33,,,,"Qualification (men), science",21,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Woman, mathematic",ARG,PISA,2006,375.1851196289063,34,34,,,,"Woman, mathematic",2,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Man, mathematic",ARG,PISA,2006,388.0733947753906,35,35,,,,"Man, mathematic",3,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Woman, language",ARG,PISA,2006,399.1055603027344,36,36,,,,"Woman, language",9,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Man, language",ARG,PISA,2006,345.2023315429688,37,37,,,,"Man, language",10,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Woman, science",ARG,PISA,2006,397.2837219238281,38,38,,,,"Woman, science",16,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Man, science",ARG,PISA,2006,384.4569702148438,39,39,,,,"Man, science",17,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Total, mathematic",ARG,PISA,2009,388.068115234375,1,1,,,,"Total, mathematic",1,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women, mathematic",ARG,PISA,2009,383.2348327636719,2,2,,,,"Gender, mathematic",4,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Men, mathematic",ARG,PISA,2009,393.6718444824219,3,3,,,,"Gender, mathematic",4,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Gap women - men, mathematic",ARG,PISA,2009,10.43701076507568,4,4,6.7552032,,,"Gap women - men, mathematic",5,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women in low-skilled household, mathematic",ARG,PISA,2009,349.9201354980469,6,6,,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women in medium-skilled household, mathematic",ARG,PISA,2009,387.5704040527344,7,7,,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women in high-skilled household, mathematic",ARG,PISA,2009,414.7409057617188,8,8,,,,"Qualification (women), mathematic",6,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Men in low-skilled household, mathematic",ARG,PISA,2009,358.2016296386719,9,9,,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Men in medium-skilled household, mathematic",ARG,PISA,2009,389.14794921875,10,10,,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Men in high-skilled household, mathematic",ARG,PISA,2009,433.2437133789063,11,11,,,,"Qualification (men), mathematic",7,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Total, language",ARG,PISA,2009,398.2608947753906,12,12,,,,"Total, language",8,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women, language",ARG,PISA,2009,415.1782531738281,13,13,,,,"Gender, language",11,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Men, language",ARG,PISA,2009,378.6468811035156,14,14,,,,"Gender, language",11,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Gap women - men, language",ARG,PISA,2009,-36.5313720703125,15,15,,7.4105439,,"Gap women - men, language",12,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women in low-skilled household, language",ARG,PISA,2009,376.1204223632813,17,17,,,,"Qualification (women), language",13,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women in medium-skilled household, language",ARG,PISA,2009,417.1537475585938,18,18,,,,"Qualification (women), language",13,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women in high-skilled household, language",ARG,PISA,2009,453.7192077636719,19,19,,,,"Qualification (women), language",13,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Men in low-skilled household, language",ARG,PISA,2009,339.0838012695313,20,20,,,,"Qualification (men), language",14,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Men in medium-skilled household, language",ARG,PISA,2009,369.5328369140625,21,21,,,,"Qualification (men), language",14,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Men in high-skilled household, language",ARG,PISA,2009,425.3795166015625,22,22,,,,"Qualification (men), language",14,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Total, science",ARG,PISA,2009,400.8385314941406,23,23,,,,"Total, science",15,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women, science",ARG,PISA,2009,404.4362182617188,24,24,,,,"Gender, science",18,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Men, science",ARG,PISA,2009,396.6673583984375,25,25,,,,"Gender, science",18,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Gap women - men, science",ARG,PISA,2009,-7.768873691558838,26,26,,,7.4149518,"Gap women - men, science",19,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women in low-skilled household, science",ARG,PISA,2009,366.0224609375,28,28,,,,"Qualification (women), science",20,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women in medium-skilled household, science",ARG,PISA,2009,407.6677551269531,29,29,,,,"Qualification (women), science",20,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2009,"Women in high-skilled household, science",ARG,PISA,2009,441.7562255859375,30,30,,,,"Qualification (women), science",20,Argentina,Average score in standardized tests for 15 year-old students,Average score in standardized tests for students aged 15 years old.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
